xq,h1,he4,c12,o16,ne20,mg24
1.0e-06,0.7,0.28,0.02,0.0,0.0,0.0
1.0e-03,0.0,0.98,0.02,0.0,0.0,0.0
5.0e-02,0.0,0.0,0.6,0.4,0.0,0.0
1.0,0.0,0.0,0.5,0.5,0.0,0.0

